"statistic, pvalue, row is better than column",best set: template_37,template_27,template_13,template_19,template_25,template_21,template_28,template_11,template_9,template_30,template_35,template_17,template_15,template_29,template_40,template_23,template_39,template_12,template_36,template_5,template_6,template_7,template_41,template_32,template_10,template_33,template_2,template_31,template_16,template_1,template_14,template_22,template_24,template_0,template_3,template_34,template_45,template_4,template_49,template_44,template_38,template_18,template_54,template_55,template_47,template_26,template_8,template_43,template_52,template_42,template_20,template_53,template_46,template_51,template_48,template_50,group
best set: template_37,None,"17.00, 1.00, True","17.00, 0.87, True","15.00, 0.86, True","16.00, 0.74, True","14.00, 0.72, True","12.00, 0.70, True","11.00, 0.56, True","10.00, 0.54, True","11.00, 0.56, True","7.00, 0.36, True","15.00, 0.50, True","12.00, 0.46, True","7.00, 0.36, True","14.00, 0.49, True","14.00, 0.49, True","8.00, 0.29, True","9.00, 0.31, True","10.00, 0.33, True","11.00, 0.34, True","12.00, 0.28, True","8.00, 0.21, True","9.00, 0.23, True","9.00, 0.23, True","10.00, 0.25, True","4.00, 0.08, True","11.00, 0.20, True","7.00, 0.09, True","16.00, 0.21, True","10.00, 0.14, True","11.00, 0.11, True","15.00, 0.15, True","14.00, 0.14, True","10.00, 0.10, True","8.00, 0.08, True","10.00, 0.10, True","13.00, 0.13, True","9.00, 0.06, True","13.00, 0.10, True","14.00, 0.08, True","8.00, 0.04, True","17.00, 0.10, True","16.00, 0.07, True","12.00, 0.05, True","13.00, 0.05, True","13.00, 0.05, True","9.00, 0.03, True","12.00, 0.05, True","15.00, 0.05, True","14.00, 0.04, True","13.00, 0.03, True","8.00, 0.01, True","12.00, 0.02, True","12.00, 0.02, True","14.00, 0.02, True","10.00, 0.01, True",A
template_27,"17.00, 1.00, False",None,"12.00, 1.00, True","5.00, 1.00, True","4.00, 0.75, True","4.00, 0.75, True","19.00, 0.87, True","10.00, 0.68, True","13.00, 0.71, True","18.00, 0.75, True","14.00, 0.60, True","10.00, 0.54, True","6.00, 0.45, True","15.00, 0.61, True","19.00, 0.64, True","4.00, 0.39, True","17.00, 0.52, True","14.00, 0.49, True","18.00, 0.53, True","12.00, 0.46, True","17.00, 0.43, True","10.00, 0.33, True","15.00, 0.41, True","16.00, 0.42, True","15.00, 0.41, True","12.00, 0.28, True","12.00, 0.28, True","12.00, 0.22, True","17.00, 0.28, True","12.00, 0.22, True","11.00, 0.15, True","14.00, 0.19, True","13.00, 0.18, True","11.00, 0.15, True","10.00, 0.14, True","15.00, 0.20, True","13.00, 0.18, True","12.00, 0.12, True","15.00, 0.15, True","13.00, 0.10, True","16.00, 0.13, True","12.00, 0.09, True","13.00, 0.07, True","11.00, 0.06, True","12.00, 0.07, True","12.00, 0.07, True","12.00, 0.07, True","14.00, 0.08, True","15.00, 0.07, True","12.00, 0.05, True","9.00, 0.02, True","10.00, 0.02, True","13.00, 0.04, True","13.00, 0.03, True","13.00, 0.03, True","12.00, 0.02, True",A
template_13,"17.00, 0.87, False","12.00, 1.00, False",None,"11.00, 1.00, None","10.00, 1.00, True","13.00, 1.00, True","19.00, 1.00, True","7.00, 0.80, True","7.00, 0.80, True","17.00, 0.87, True","12.00, 0.70, True","12.00, 0.70, True","10.00, 0.68, True","13.00, 0.71, True","18.00, 0.75, True","12.00, 0.70, True","16.00, 0.62, True","11.00, 0.56, True","18.00, 0.64, True","6.00, 0.45, True","13.00, 0.47, True","7.00, 0.36, True","12.00, 0.46, True","17.00, 0.52, True","10.00, 0.42, True","12.00, 0.36, True","12.00, 0.36, True","12.00, 0.28, True","18.00, 0.36, True","5.00, 0.14, True","13.00, 0.23, True","15.00, 0.26, True","17.00, 0.28, True","8.00, 0.15, True","8.00, 0.15, True","15.00, 0.26, True","13.00, 0.23, True","9.00, 0.12, True","16.00, 0.21, True","16.00, 0.16, True","14.00, 0.14, True","17.00, 0.17, True","15.00, 0.12, True","11.00, 0.08, True","12.00, 0.09, True","14.00, 0.11, True","10.00, 0.07, True","15.00, 0.12, True","14.00, 0.08, True","13.00, 0.07, True","14.00, 0.06, True","8.00, 0.02, True","14.00, 0.06, True","14.00, 0.04, True","15.00, 0.05, True","14.00, 0.03, True",A
template_19,"15.00, 0.86, False","5.00, 1.00, False","11.00, 1.00, True",None,"4.00, 1.00, True","2.00, 1.00, True","19.00, 1.00, True","9.00, 0.82, True","11.00, 0.84, True","17.00, 0.87, True","14.00, 0.72, True","8.00, 0.65, True","6.00, 0.61, True","15.00, 0.73, True","19.00, 0.76, True","4.00, 0.55, True","18.00, 0.64, True","15.00, 0.61, True","18.00, 0.64, True","10.00, 0.54, True","15.00, 0.50, True","9.00, 0.40, True","17.00, 0.52, True","16.00, 0.51, True","15.00, 0.50, True","12.00, 0.36, True","12.00, 0.36, True","11.00, 0.26, True","15.00, 0.32, True","11.00, 0.26, True","12.00, 0.22, True","11.00, 0.20, True","15.00, 0.26, True","10.00, 0.18, True","8.00, 0.15, True","15.00, 0.26, True","15.00, 0.26, True","10.00, 0.14, True","16.00, 0.21, True","16.00, 0.16, True","15.00, 0.15, True","14.00, 0.14, True","16.00, 0.13, True","11.00, 0.08, True","14.00, 0.11, True","13.00, 0.10, True","11.00, 0.08, True","16.00, 0.13, True","17.00, 0.10, True","13.00, 0.07, True","10.00, 0.04, True","10.00, 0.04, True","15.00, 0.07, True","14.00, 0.04, True","14.00, 0.04, True","13.00, 0.03, True",A
template_25,"16.00, 0.74, False","4.00, 0.75, False","10.00, 1.00, False","4.00, 1.00, False",None,"5.00, 1.00, None","20.00, 1.00, None","9.00, 1.00, True","12.00, 1.00, True","18.00, 1.00, True","14.00, 0.86, True","10.00, 0.83, True","5.00, 0.77, True","15.00, 0.86, True","21.00, 0.88, True","4.00, 0.75, True","19.00, 0.76, True","14.00, 0.72, True","19.00, 0.76, True","11.00, 0.69, True","17.00, 0.63, True","10.00, 0.54, True","16.00, 0.62, True","17.00, 0.63, True","15.00, 0.61, True","13.00, 0.47, True","14.00, 0.49, True","11.00, 0.34, True","18.00, 0.44, True","10.00, 0.33, True","13.00, 0.30, True","14.00, 0.31, True","15.00, 0.32, True","10.00, 0.25, True","9.00, 0.23, True","16.00, 0.34, True","15.00, 0.32, True","11.00, 0.20, True","17.00, 0.28, True","17.00, 0.22, True","16.00, 0.21, True","14.00, 0.19, True","17.00, 0.17, True","13.00, 0.13, True","14.00, 0.14, True","13.00, 0.13, True","12.00, 0.12, True","16.00, 0.16, True","18.00, 0.14, True","15.00, 0.12, True","11.00, 0.06, True","11.00, 0.06, True","16.00, 0.10, True","14.00, 0.06, True","16.00, 0.07, True","14.00, 0.04, True",A
template_21,"14.00, 0.72, False","4.00, 0.75, False","13.00, 1.00, False","2.00, 1.00, False","5.00, 1.00, True",None,"20.00, 1.00, None","10.00, 1.00, True","13.00, 1.00, True","18.00, 1.00, True","15.00, 0.86, True","10.00, 0.83, True","7.00, 0.80, True","15.00, 0.86, True","20.00, 0.88, True","4.00, 0.75, True","19.00, 0.76, True","15.00, 0.73, True","18.00, 0.75, True","12.00, 0.70, True","16.00, 0.62, True","10.00, 0.54, True","17.00, 0.63, True","17.00, 0.63, True","16.00, 0.62, True","13.00, 0.47, True","13.00, 0.47, True","12.00, 0.36, True","16.00, 0.42, True","13.00, 0.38, True","13.00, 0.30, True","13.00, 0.30, True","16.00, 0.34, True","12.00, 0.28, True","10.00, 0.25, True","16.00, 0.34, True","16.00, 0.34, True","12.00, 0.22, True","18.00, 0.29, True","16.00, 0.21, True","15.00, 0.20, True","15.00, 0.20, True","17.00, 0.17, True","13.00, 0.13, True","15.00, 0.15, True","13.00, 0.13, True","13.00, 0.13, True","17.00, 0.17, True","18.00, 0.14, True","14.00, 0.11, True","11.00, 0.06, True","12.00, 0.07, True","14.00, 0.08, True","16.00, 0.07, True","15.00, 0.07, True","13.00, 0.04, True",A
template_28,"12.00, 0.70, False","19.00, 0.87, False","19.00, 1.00, False","19.00, 1.00, False","20.00, 1.00, True","20.00, 1.00, True",None,"15.00, 1.00, True","15.00, 1.00, True","12.00, 1.00, True","10.00, 0.83, True","18.00, 0.87, True","17.00, 0.87, True","10.00, 0.83, True","10.00, 0.83, True","19.00, 0.87, True","11.00, 0.69, True","12.00, 0.70, True","10.00, 0.68, True","15.00, 0.73, True","11.00, 0.56, True","13.00, 0.58, True","10.00, 0.54, True","5.00, 0.42, True","10.00, 0.54, True","7.00, 0.36, True","9.00, 0.40, True","12.00, 0.36, True","16.00, 0.42, True","11.00, 0.34, True","11.00, 0.26, True","16.00, 0.34, True","12.00, 0.28, True","5.00, 0.14, True","9.00, 0.23, True","4.00, 0.12, True","16.00, 0.34, True","9.00, 0.17, True","16.00, 0.27, True","14.00, 0.19, True","6.00, 0.08, True","13.00, 0.18, True","15.00, 0.15, True","15.00, 0.15, True","17.00, 0.17, True","13.00, 0.13, True","5.00, 0.04, True","13.00, 0.13, True","15.00, 0.12, True","13.00, 0.10, True","11.00, 0.06, True","14.00, 0.08, True","15.00, 0.09, True","14.00, 0.06, True","14.00, 0.06, True","13.00, 0.04, True",A
template_11,"11.00, 0.56, False","10.00, 0.68, False","7.00, 0.80, False","9.00, 0.82, False","9.00, 1.00, False","10.00, 1.00, False","15.00, 1.00, False",None,"5.00, 1.00, None","17.00, 1.00, None","10.00, 1.00, True","12.00, 1.00, True","10.00, 1.00, True","10.00, 1.00, True","16.00, 1.00, True","10.00, 1.00, True","14.00, 0.86, True","9.00, 0.82, True","16.00, 0.86, True","6.00, 0.79, True","12.00, 0.70, True","5.00, 0.58, True","11.00, 0.69, True","14.00, 0.72, True","8.00, 0.65, True","8.00, 0.50, True","12.00, 0.57, True","10.00, 0.42, True","20.00, 0.55, True","7.00, 0.36, True","14.00, 0.39, True","16.00, 0.42, True","17.00, 0.43, True","6.00, 0.24, True","7.00, 0.26, True","14.00, 0.39, True","15.00, 0.41, True","9.00, 0.23, True","15.00, 0.32, True","17.00, 0.28, True","13.00, 0.23, True","19.00, 0.30, True","16.00, 0.21, True","12.00, 0.16, True","12.00, 0.16, True","16.00, 0.21, True","8.00, 0.11, True","14.00, 0.19, True","16.00, 0.16, True","13.00, 0.13, True","15.00, 0.12, True","8.00, 0.05, True","14.00, 0.11, True","13.00, 0.07, True","15.00, 0.09, True","11.00, 0.04, True",A
template_9,"10.00, 0.54, False","13.00, 0.71, False","7.00, 0.80, False","11.00, 0.84, False","12.00, 1.00, False","13.00, 1.00, False","15.00, 1.00, False","5.00, 1.00, True",None,"17.00, 1.00, None","9.00, 1.00, True","12.00, 1.00, True","10.00, 1.00, True","12.00, 1.00, True","15.00, 1.00, True","14.00, 1.00, True","13.00, 0.85, True","8.00, 0.81, True","16.00, 0.86, True","3.00, 0.73, True","10.00, 0.68, True","3.00, 0.51, True","11.00, 0.69, True","14.00, 0.72, True","7.00, 0.63, True","8.00, 0.50, True","11.00, 0.56, True","10.00, 0.42, True","18.00, 0.53, True","5.00, 0.30, True","13.00, 0.38, True","15.00, 0.41, True","18.00, 0.44, True","6.00, 0.24, True","5.00, 0.21, True","13.00, 0.38, True","12.00, 0.36, True","9.00, 0.23, True","16.00, 0.34, True","18.00, 0.29, True","11.00, 0.20, True","18.00, 0.29, True","17.00, 0.22, True","12.00, 0.16, True","13.00, 0.18, True","16.00, 0.21, True","7.00, 0.09, True","14.00, 0.19, True","16.00, 0.16, True","14.00, 0.14, True","14.00, 0.11, True","8.00, 0.05, True","14.00, 0.11, True","11.00, 0.06, True","16.00, 0.10, True","13.00, 0.05, True",A
template_30,"11.00, 0.56, False","18.00, 0.75, False","17.00, 0.87, False","17.00, 0.87, False","18.00, 1.00, False","18.00, 1.00, False","12.00, 1.00, False","17.00, 1.00, True","17.00, 1.00, True",None,"15.00, 1.00, True","18.00, 1.00, True","15.00, 1.00, True","15.00, 1.00, True","14.00, 1.00, True","18.00, 1.00, True","15.00, 0.86, True","16.00, 0.86, True","13.00, 0.85, True","15.00, 0.86, True","15.00, 0.73, True","13.00, 0.71, True","13.00, 0.71, True","10.00, 0.68, True","16.00, 0.74, True","13.00, 0.58, True","8.00, 0.50, True","6.00, 0.33, True","15.00, 0.50, True","14.00, 0.49, True","14.00, 0.39, True","15.00, 0.41, True","15.00, 0.41, True","9.00, 0.31, True","9.00, 0.31, True","10.00, 0.33, True","19.00, 0.45, True","8.00, 0.21, True","18.00, 0.36, True","15.00, 0.26, True","13.00, 0.23, True","15.00, 0.26, True","17.00, 0.22, True","16.00, 0.21, True","19.00, 0.24, True","16.00, 0.21, True","9.00, 0.12, True","17.00, 0.22, True","15.00, 0.15, True","16.00, 0.16, True","14.00, 0.11, True","13.00, 0.10, True","13.00, 0.10, True","18.00, 0.11, True","12.00, 0.07, True","13.00, 0.05, True",A
