"statistic, pvalue, row is better than column",best set: template_17,template_44,template_15,template_25,template_7,template_21,template_19,template_52,template_39,template_51,template_34,template_36,template_42,template_37,template_49,template_32,template_48,template_33,template_47,template_35,template_50,template_30,template_28,template_29,template_41,template_46,template_53,template_54,template_55,template_10,template_38,template_40,template_11,template_12,template_13,template_8,template_9,template_4,template_5,template_6,template_0,template_1,template_26,template_27,template_22,template_23,template_18,template_20,template_14,template_43,template_45,template_24,template_16,template_3,template_31,template_2,group,accuracy
template_17,None,"98.00, 0.17, True","99.00, 0.14, True","97.00, 0.12, True","97.00, 0.12, True","95.00, 0.12, True","97.00, 0.12, True","97.00, 0.12, True","98.00, 0.12, True","97.00, 0.10, True","97.00, 0.10, True","97.00, 0.10, True","97.00, 0.10, True","97.00, 0.10, True","97.00, 0.10, True","97.00, 0.10, True","97.00, 0.10, True","97.00, 0.10, True","97.00, 0.10, True","97.00, 0.10, True","97.00, 0.10, True","97.00, 0.10, True","97.00, 0.10, True","97.00, 0.10, True","97.00, 0.10, True","97.00, 0.10, True","97.00, 0.10, True","97.00, 0.10, True","97.00, 0.10, True","97.00, 0.10, True","97.00, 0.10, True","97.00, 0.10, True","97.00, 0.10, True","97.00, 0.10, True","97.00, 0.10, True","97.00, 0.10, True","97.00, 0.10, True","97.00, 0.10, True","97.00, 0.10, True","97.00, 0.10, True","97.00, 0.10, True","97.00, 0.10, True","97.00, 0.10, True","97.00, 0.10, True","97.00, 0.10, True","97.00, 0.10, True","97.00, 0.10, True","97.00, 0.10, True","97.00, 0.10, True","97.00, 0.10, True","91.00, 0.07, True","94.00, 0.07, True","84.00, 0.05, True","91.00, 0.03, True","83.00, 0.02, True","75.00, 0.00, True",A,0.301
template_44,"98.00, 0.17, False",None,"2.00, 0.69, True","1.00, 0.38, True","1.00, 0.38, True","3.00, 0.51, True","1.00, 0.38, True","0.00, 0.25, True","1.00, 0.38, True","0.00, 0.12, True","0.00, 0.12, True","0.00, 0.12, True","0.00, 0.12, True","0.00, 0.12, True","0.00, 0.12, True","0.00, 0.12, True","0.00, 0.12, True","0.00, 0.12, True","0.00, 0.12, True","0.00, 0.12, True","0.00, 0.12, True","0.00, 0.12, True","0.00, 0.12, True","0.00, 0.12, True","0.00, 0.12, True","0.00, 0.12, True","0.00, 0.12, True","0.00, 0.12, True","0.00, 0.12, True","0.00, 0.12, True","0.00, 0.12, True","0.00, 0.12, True","0.00, 0.12, True","0.00, 0.12, True","0.00, 0.12, True","0.00, 0.12, True","0.00, 0.12, True","0.00, 0.12, True","0.00, 0.12, True","0.00, 0.12, True","0.00, 0.12, True","0.00, 0.12, True","0.00, 0.12, True","0.00, 0.12, True","0.00, 0.12, True","0.00, 0.12, True","0.00, 0.12, True","0.00, 0.12, True","0.00, 0.12, True","0.00, 0.12, True","10.00, 0.33, True","0.00, 0.02, True","31.00, 0.40, True","116.00, 0.48, True","14.00, 0.06, True","25.00, 0.00, True",A,0.277
template_15,"99.00, 0.14, False","2.00, 0.69, False",None,"1.00, 1.00, True","1.00, 1.00, True","3.00, 1.00, True","1.00, 1.00, True","1.00, 1.00, True","1.00, 1.00, True","0.00, 0.50, True","0.00, 0.50, True","0.00, 0.50, True","0.00, 0.50, True","0.00, 0.50, True","0.00, 0.50, True","0.00, 0.50, True","0.00, 0.50, True","0.00, 0.50, True","0.00, 0.50, True","0.00, 0.50, True","0.00, 0.50, True","1.00, 0.62, True","0.00, 0.50, True","0.00, 0.50, True","0.00, 0.50, True","0.00, 0.50, True","0.00, 0.50, True","0.00, 0.50, True","0.00, 0.50, True","0.00, 0.50, True","0.00, 0.50, True","0.00, 0.50, True","0.00, 0.50, True","0.00, 0.50, True","0.00, 0.50, True","0.00, 0.50, True","0.00, 0.50, True","0.00, 0.50, True","0.00, 0.50, True","0.00, 0.50, True","0.00, 0.50, True","0.00, 0.50, True","0.00, 0.50, True","0.00, 0.50, True","0.00, 0.50, True","0.00, 0.50, True","0.00, 0.50, True","0.00, 0.50, True","0.00, 0.50, True","0.00, 0.50, True","12.00, 0.57, True","0.00, 0.06, True","34.00, 0.56, True","119.00, 0.57, True","16.00, 0.13, True","28.00, 0.00, True",A,0.275
template_25,"97.00, 0.12, False","1.00, 0.38, False","1.00, 1.00, False",None,"0.00, 1.00, None","2.00, 1.00, None","1.00, 1.00, None","1.00, 1.00, None","1.00, 1.00, None","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","1.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","12.00, 0.70, True","0.00, 0.12, True","34.00, 0.64, True","119.00, 0.61, True","16.00, 0.16, True","28.00, 0.00, True",A,0.274
template_7,"97.00, 0.12, False","1.00, 0.38, False","1.00, 1.00, False","0.00, 1.00, True",None,"2.00, 1.00, None","1.00, 1.00, None","1.00, 1.00, None","1.00, 1.00, None","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","1.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","12.00, 0.70, True","0.00, 0.12, True","34.00, 0.64, True","119.00, 0.61, True","16.00, 0.16, True","28.00, 0.00, True",A,0.274
template_21,"95.00, 0.12, False","3.00, 0.51, False","3.00, 1.00, False","2.00, 1.00, True","2.00, 1.00, True",None,"3.00, 1.00, None","3.00, 1.00, None","3.00, 1.00, None","2.00, 1.00, True","2.00, 1.00, True","2.00, 1.00, True","2.00, 1.00, True","2.00, 1.00, True","2.00, 1.00, True","2.00, 1.00, True","2.00, 1.00, True","2.00, 1.00, True","2.00, 1.00, True","2.00, 1.00, True","2.00, 1.00, True","3.00, 1.00, True","2.00, 1.00, True","2.00, 1.00, True","2.00, 1.00, True","2.00, 1.00, True","2.00, 1.00, True","2.00, 1.00, True","2.00, 1.00, True","2.00, 1.00, True","2.00, 1.00, True","2.00, 1.00, True","2.00, 1.00, True","2.00, 1.00, True","2.00, 1.00, True","2.00, 1.00, True","2.00, 1.00, True","2.00, 1.00, True","2.00, 1.00, True","2.00, 1.00, True","2.00, 1.00, True","2.00, 1.00, True","2.00, 1.00, True","2.00, 1.00, True","2.00, 1.00, True","2.00, 1.00, True","2.00, 1.00, True","2.00, 1.00, True","2.00, 1.00, True","2.00, 1.00, True","14.00, 0.72, True","2.00, 0.29, True","35.00, 0.64, True","118.00, 0.61, True","17.00, 0.17, True","30.00, 0.00, True",A,0.274
template_19,"97.00, 0.12, False","1.00, 0.38, False","1.00, 1.00, False","1.00, 1.00, True","1.00, 1.00, True","3.00, 1.00, True",None,"1.00, 1.00, None","1.00, 1.00, None","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","1.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","12.00, 0.70, True","0.00, 0.12, True","34.00, 0.64, True","118.00, 0.61, True","15.00, 0.15, True","28.00, 0.00, True",A,0.274
template_52,"97.00, 0.12, False","0.00, 0.25, False","1.00, 1.00, False","1.00, 1.00, True","1.00, 1.00, True","3.00, 1.00, True","1.00, 1.00, True",None,"1.00, 1.00, None","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","1.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","11.00, 0.69, True","0.00, 0.12, True","33.00, 0.64, True","118.00, 0.61, True","15.00, 0.15, True","27.00, 0.00, True",A,0.274
template_39,"98.00, 0.12, False","1.00, 0.38, False","1.00, 1.00, False","1.00, 1.00, True","1.00, 1.00, True","3.00, 1.00, True","1.00, 1.00, True","1.00, 1.00, True",None,"0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","1.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","0.00, 1.00, True","12.00, 0.70, True","0.00, 0.12, True","34.00, 0.64, True","119.00, 0.61, True","16.00, 0.16, True","28.00, 0.00, True",A,0.274
template_51,"97.00, 0.10, False","0.00, 0.12, False","0.00, 0.50, False","0.00, 1.00, False","0.00, 1.00, False","2.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False","0.00, 1.00, False",None,"0.00, 1.00, None","0.00, 1.00, None","0.00, 1.00, None","0.00, 1.00, None","0.00, 1.00, None","0.00, 1.00, None","0.00, 1.00, None","0.00, 1.00, None","0.00, 1.00, None","0.00, 1.00, None","0.00, 1.00, None","1.00, 1.00, None","0.00, 1.00, None","0.00, 1.00, None","0.00, 1.00, None","0.00, 1.00, None","0.00, 1.00, None","0.00, 1.00, None","0.00, 1.00, None","0.00, 1.00, None","0.00, 1.00, None","0.00, 1.00, None","0.00, 1.00, None","0.00, 1.00, None","0.00, 1.00, None","0.00, 1.00, None","0.00, 1.00, None","0.00, 1.00, None","0.00, 1.00, None","0.00, 1.00, None","0.00, 1.00, None","0.00, 1.00, None","0.00, 1.00, None","0.00, 1.00, None","0.00, 1.00, None","0.00, 1.00, None","0.00, 1.00, None","0.00, 1.00, None","0.00, 1.00, None","0.00, 1.00, None","12.00, 0.85, True","0.00, 0.25, True","34.00, 0.72, True","119.00, 0.66, True","16.00, 0.21, True","28.00, 0.00, True",A,0.273
