"statistic, pvalue, row is better than column",best set: template_17,template_41,template_4,template_29,template_35,template_38,template_3,template_31,template_28,template_37,template_36,template_40,template_39,template_27,template_19,template_33,template_32,template_7,template_16,template_25,template_15,template_45,template_21,template_23,template_5,template_34,template_51,template_0,template_12,template_30,template_6,template_26,template_1,template_8,template_53,template_24,template_49,template_9,template_22,template_13,template_18,template_2,template_20,template_55,template_47,template_46,template_43,template_50,template_54,template_11,template_14,template_10,template_52,template_48,template_44,template_42,group,accuracy
template_17,None,"14.00, 1.00, True","17.00, 0.87, True","12.00, 0.85, True","15.00, 0.86, True","16.00, 0.74, True","10.00, 0.68, True","13.00, 0.71, True","16.00, 0.74, True","14.00, 0.60, True","15.00, 0.61, True","15.00, 0.61, True","12.00, 0.57, True","9.00, 0.52, True","8.00, 0.50, True","12.00, 0.46, True","13.00, 0.47, True","14.00, 0.49, True","11.00, 0.44, True","7.00, 0.36, True","7.00, 0.36, True","11.00, 0.34, True","5.00, 0.21, True","6.00, 0.24, True","14.00, 0.39, True","12.00, 0.28, True","13.00, 0.23, True","16.00, 0.27, True","15.00, 0.26, True","10.00, 0.18, True","15.00, 0.26, True","12.00, 0.22, True","13.00, 0.18, True","16.00, 0.21, True","12.00, 0.16, True","8.00, 0.08, True","11.00, 0.11, True","13.00, 0.13, True","11.00, 0.11, True","13.00, 0.13, True","10.00, 0.10, True","11.00, 0.08, True","9.00, 0.06, True","12.00, 0.09, True","11.00, 0.06, True","12.00, 0.07, True","12.00, 0.07, True","11.00, 0.06, True","10.00, 0.05, True","11.00, 0.04, True","9.00, 0.03, True","12.00, 0.05, True","11.00, 0.03, True","11.00, 0.03, True","8.00, 0.02, True","10.00, 0.02, True",A,0.4
template_41,"14.00, 1.00, False",None,"12.00, 1.00, True","5.00, 1.00, True","5.00, 1.00, True","10.00, 0.83, True","8.00, 0.81, True","7.00, 0.80, True","9.00, 0.82, True","4.00, 0.55, True","8.00, 0.65, True","9.00, 0.66, True","4.00, 0.55, True","12.00, 0.70, True","10.00, 0.68, True","5.00, 0.42, True","7.00, 0.48, True","7.00, 0.48, True","14.00, 0.60, True","10.00, 0.54, True","12.00, 0.57, True","9.00, 0.40, True","9.00, 0.40, True","10.00, 0.42, True","8.00, 0.38, True","5.00, 0.21, True","8.00, 0.21, True","9.00, 0.23, True","7.00, 0.19, True","9.00, 0.23, True","9.00, 0.23, True","9.00, 0.23, True","7.00, 0.13, True","8.00, 0.15, True","7.00, 0.13, True","11.00, 0.15, True","6.00, 0.08, True","6.00, 0.08, True","10.00, 0.14, True","5.00, 0.06, True","9.00, 0.12, True","8.00, 0.08, True","9.00, 0.09, True","6.00, 0.05, True","6.00, 0.03, True","6.00, 0.03, True","5.00, 0.03, True","6.00, 0.03, True","5.00, 0.03, True","5.00, 0.02, True","8.00, 0.04, True","5.00, 0.02, True","5.00, 0.01, True","5.00, 0.01, True","6.00, 0.01, True","3.00, 0.00, True",A,0.39
template_4,"17.00, 0.87, False","12.00, 1.00, False",None,"10.00, 1.00, None","12.00, 1.00, None","9.00, 1.00, True","15.00, 1.00, True","12.00, 1.00, True","7.00, 1.00, True","8.00, 0.81, True","8.00, 0.81, True","7.00, 0.80, True","11.00, 0.84, True","12.00, 0.85, True","12.00, 0.85, True","10.00, 0.68, True","7.00, 0.63, True","6.00, 0.61, True","14.00, 0.72, True","12.00, 0.70, True","11.00, 0.69, True","12.00, 0.57, True","11.00, 0.56, True","12.00, 0.57, True","7.00, 0.48, True","7.00, 0.36, True","7.00, 0.26, True","1.00, 0.07, True","0.00, 0.03, True","7.00, 0.26, True","0.00, 0.03, True","7.00, 0.26, True","5.00, 0.14, True","1.00, 0.04, True","6.00, 0.17, True","10.00, 0.18, True","8.00, 0.15, True","4.00, 0.08, True","9.00, 0.17, True","4.00, 0.08, True","6.00, 0.12, True","9.00, 0.12, True","7.00, 0.09, True","6.00, 0.08, True","8.00, 0.08, True","6.00, 0.05, True","6.00, 0.05, True","6.00, 0.05, True","6.00, 0.05, True","5.00, 0.03, True","8.00, 0.05, True","1.00, 0.00, True","5.00, 0.02, True","5.00, 0.02, True","9.00, 0.04, True","6.00, 0.02, True",A,0.38
template_29,"12.00, 0.85, False","5.00, 1.00, False","10.00, 1.00, True",None,"4.00, 1.00, None","10.00, 1.00, True","10.00, 1.00, True","6.00, 1.00, True","8.00, 1.00, True","5.00, 0.77, True","9.00, 0.82, True","8.00, 0.81, True","6.00, 0.79, True","10.00, 0.83, True","8.00, 0.81, True","3.00, 0.51, True","7.00, 0.63, True","6.00, 0.61, True","15.00, 0.73, True","9.00, 0.66, True","10.00, 0.68, True","9.00, 0.52, True","8.00, 0.50, True","9.00, 0.52, True","8.00, 0.50, True","5.00, 0.30, True","8.00, 0.29, True","8.00, 0.29, True","7.00, 0.26, True","7.00, 0.26, True","7.00, 0.26, True","8.00, 0.29, True","7.00, 0.19, True","8.00, 0.21, True","6.00, 0.17, True","10.00, 0.18, True","5.00, 0.10, True","6.00, 0.12, True","9.00, 0.17, True","5.00, 0.10, True","7.00, 0.13, True","9.00, 0.12, True","7.00, 0.09, True","6.00, 0.08, True","5.00, 0.04, True","7.00, 0.06, True","6.00, 0.05, True","7.00, 0.06, True","6.00, 0.05, True","4.00, 0.02, True","6.00, 0.03, True","5.00, 0.03, True","6.00, 0.02, True","6.00, 0.02, True","8.00, 0.04, True","4.00, 0.01, True",A,0.38
template_35,"15.00, 0.86, False","5.00, 1.00, False","12.00, 1.00, True","4.00, 1.00, True",None,"8.00, 1.00, True","10.00, 1.00, True","6.00, 1.00, True","9.00, 1.00, True","3.00, 0.73, True","7.00, 0.80, True","7.00, 0.80, True","5.00, 0.77, True","11.00, 0.84, True","10.00, 0.83, True","2.00, 0.45, True","6.00, 0.61, True","8.00, 0.65, True","15.00, 0.73, True","11.00, 0.69, True","12.00, 0.70, True","8.00, 0.50, True","10.00, 0.54, True","11.00, 0.56, True","9.00, 0.52, True","4.00, 0.27, True","8.00, 0.29, True","8.00, 0.29, True","7.00, 0.26, True","8.00, 0.29, True","8.00, 0.29, True","9.00, 0.31, True","8.00, 0.21, True","8.00, 0.21, True","7.00, 0.19, True","10.00, 0.18, True","6.00, 0.12, True","7.00, 0.13, True","9.00, 0.17, True","7.00, 0.13, True","8.00, 0.15, True","10.00, 0.14, True","7.00, 0.09, True","5.00, 0.06, True","6.00, 0.05, True","7.00, 0.06, True","5.00, 0.04, True","8.00, 0.08, True","5.00, 0.04, True","5.00, 0.03, True","6.00, 0.03, True","5.00, 0.03, True","5.00, 0.02, True","5.00, 0.02, True","7.00, 0.03, True","3.00, 0.01, True",A,0.38
template_38,"16.00, 0.74, False","10.00, 0.83, False","9.00, 1.00, False","10.00, 1.00, False","8.00, 1.00, False",None,"15.00, 1.00, None","14.00, 1.00, None","6.00, 1.00, None","8.00, 1.00, True","4.00, 1.00, True","4.00, 1.00, True","8.00, 1.00, True","13.00, 1.00, True","12.00, 1.00, True","9.00, 0.82, True","4.00, 0.75, True","9.00, 0.82, True","13.00, 0.85, True","12.00, 0.85, True","14.00, 0.86, True","12.00, 0.70, True","12.00, 0.70, True","13.00, 0.71, True","9.00, 0.66, True","4.00, 0.39, True","9.00, 0.40, True","8.00, 0.38, True","6.00, 0.33, True","5.00, 0.30, True","7.00, 0.36, True","7.00, 0.36, True","8.00, 0.29, True","6.00, 0.24, True","9.00, 0.31, True","8.00, 0.21, True","9.00, 0.23, True","6.00, 0.17, True","8.00, 0.21, True","8.00, 0.21, True","7.00, 0.19, True","10.00, 0.18, True","7.00, 0.13, True","8.00, 0.15, True","9.00, 0.12, True","7.00, 0.09, True","7.00, 0.09, True","8.00, 0.11, True","6.00, 0.08, True","6.00, 0.05, True","5.00, 0.04, True","4.00, 0.03, True","5.00, 0.03, True","6.00, 0.03, True","7.00, 0.04, True","5.00, 0.03, True",A,0.37
template_3,"10.00, 0.68, False","8.00, 0.81, False","15.00, 1.00, False","10.00, 1.00, False","10.00, 1.00, False","15.00, 1.00, True",None,"9.00, 1.00, None","14.00, 1.00, None","10.00, 1.00, True","13.00, 1.00, True","12.00, 1.00, True","11.00, 1.00, True","16.00, 1.00, True","14.00, 1.00, True","10.00, 0.83, True","9.00, 0.82, True","10.00, 0.83, True","16.00, 0.86, True","15.00, 0.86, True","15.00, 0.86, True","7.00, 0.63, True","14.00, 0.72, True","14.00, 0.72, True","9.00, 0.66, True","9.00, 0.52, True","12.00, 0.46, True","12.00, 0.46, True","11.00, 0.44, True","8.00, 0.38, True","12.00, 0.46, True","12.00, 0.46, True","8.00, 0.29, True","13.00, 0.38, True","10.00, 0.33, True","13.00, 0.30, True","9.00, 0.23, True","9.00, 0.23, True","14.00, 0.31, True","8.00, 0.21, True","13.00, 0.30, True","6.00, 0.12, True","13.00, 0.23, True","9.00, 0.17, True","9.00, 0.12, True","9.00, 0.12, True","10.00, 0.14, True","11.00, 0.15, True","7.00, 0.09, True","7.00, 0.06, True","12.00, 0.12, True","9.00, 0.09, True","7.00, 0.04, True","7.00, 0.04, True","5.00, 0.03, True","7.00, 0.04, True",A,0.37
template_31,"13.00, 0.71, False","7.00, 0.80, False","12.00, 1.00, False","6.00, 1.00, False","6.00, 1.00, False","14.00, 1.00, True","9.00, 1.00, True",None,"12.00, 1.00, None","8.00, 1.00, True","13.00, 1.00, True","13.00, 1.00, True","8.00, 1.00, True","14.00, 1.00, True","13.00, 1.00, True","7.00, 0.80, True","10.00, 0.83, True","9.00, 0.82, True","15.00, 0.86, True","13.00, 0.85, True","14.00, 0.86, True","8.00, 0.65, True","12.00, 0.70, True","14.00, 0.72, True","10.00, 0.68, True","9.00, 0.52, True","9.00, 0.40, True","9.00, 0.40, True","8.00, 0.38, True","7.00, 0.36, True","10.00, 0.42, True","12.00, 0.46, True","9.00, 0.31, True","9.00, 0.31, True","6.00, 0.24, True","13.00, 0.30, True","8.00, 0.21, True","8.00, 0.21, True","13.00, 0.30, True","8.00, 0.21, True","12.00, 0.28, True","10.00, 0.18, True","10.00, 0.18, True","7.00, 0.13, True","8.00, 0.11, True","10.00, 0.14, True","6.00, 0.08, True","10.00, 0.14, True","8.00, 0.11, True","8.00, 0.08, True","11.00, 0.11, True","6.00, 0.05, True","7.00, 0.04, True","8.00, 0.05, True","9.00, 0.06, True","7.00, 0.04, True",A,0.37
template_28,"16.00, 0.74, False","9.00, 0.82, False","7.00, 1.00, False","8.00, 1.00, False","9.00, 1.00, False","6.00, 1.00, True","14.00, 1.00, True","12.00, 1.00, True",None,"9.00, 1.00, True","5.00, 1.00, True","5.00, 1.00, True","12.00, 1.00, True","14.00, 1.00, True","13.00, 1.00, True","9.00, 0.82, True","4.00, 0.75, True","7.00, 0.80, True","13.00, 0.85, True","14.00, 0.86, True","15.00, 0.86, True","10.00, 0.68, True","13.00, 0.71, True","14.00, 0.72, True","7.00, 0.63, True","3.00, 0.34, True","8.00, 0.38, True","6.00, 0.33, True","5.00, 0.30, True","4.00, 0.27, True","5.00, 0.30, True","9.00, 0.40, True","8.00, 0.29, True","5.00, 0.21, True","9.00, 0.31, True","11.00, 0.26, True","9.00, 0.23, True","6.00, 0.17, True","9.00, 0.23, True","7.00, 0.19, True","7.00, 0.19, True","7.00, 0.13, True","8.00, 0.15, True","7.00, 0.13, True","9.00, 0.12, True","5.00, 0.06, True","7.00, 0.09, True","5.00, 0.06, True","5.00, 0.06, True","7.00, 0.06, True","7.00, 0.06, True","3.00, 0.02, True","4.00, 0.02, True","5.00, 0.03, True","5.00, 0.03, True","3.00, 0.01, True",A,0.37
template_37,"14.00, 0.60, False","4.00, 0.55, False","8.00, 0.81, False","5.00, 0.77, False","3.00, 0.73, False","8.00, 1.00, False","10.00, 1.00, False","8.00, 1.00, False","9.00, 1.00, False",None,"6.00, 1.00, None","7.00, 1.00, None","5.00, 1.00, None","13.00, 1.00, None","11.00, 1.00, None","4.00, 1.00, True","7.00, 1.00, True","6.00, 1.00, True","14.00, 1.00, True","12.00, 1.00, True","11.00, 1.00, True","10.00, 0.83, True","11.00, 0.84, True","11.00, 0.84, True","7.00, 0.80, True","5.00, 0.58, True","7.00, 0.48, True","7.00, 0.48, True","6.00, 0.45, True","10.00, 0.54, True","7.00, 0.48, True","8.00, 0.50, True","5.00, 0.30, True","8.00, 0.38, True","8.00, 0.38, True","10.00, 0.33, True","5.00, 0.21, True","5.00, 0.21, True","8.00, 0.29, True","5.00, 0.21, True","8.00, 0.29, True","11.00, 0.26, True","9.00, 0.23, True","6.00, 0.17, True","5.00, 0.10, True","7.00, 0.13, True","6.00, 0.12, True","7.00, 0.13, True","7.00, 0.13, True","6.00, 0.08, True","7.00, 0.09, True","5.00, 0.06, True","7.00, 0.06, True","5.00, 0.04, True","9.00, 0.09, True","5.00, 0.04, True",A,0.36
