"statistic, pvalue, row is better than column",best set: template_24,template_19,template_25,template_18,template_23,template_26,template_21,template_15,template_22,template_27,template_17,template_16,template_20,template_43,template_53,template_47,template_39,template_51,template_49,template_41,template_14,template_55,template_46,template_45,template_35,template_40,template_33,template_52,template_29,template_37,template_48,template_28,template_31,template_10,template_32,template_54,template_42,template_4,template_38,template_1,template_50,template_2,template_13,template_9,template_11,template_44,template_5,template_7,template_3,template_8,template_6,template_0,template_12,template_34,template_36,template_30,group
best set: template_24,None,"10.00, 1.00, None","7.00, 1.00, True","5.00, 0.58, True","9.00, 0.52, True","3.00, 0.23, True","6.00, 0.33, True","8.00, 0.29, True","3.00, 0.15, True","7.00, 0.26, True","10.00, 0.25, True","6.00, 0.17, True","4.00, 0.12, True","11.00, 0.20, True","9.00, 0.17, True","9.00, 0.12, True","6.00, 0.08, True","9.00, 0.12, True","9.00, 0.12, True","5.00, 0.04, True","3.00, 0.01, True","7.00, 0.04, True","9.00, 0.04, True","7.00, 0.03, True","5.00, 0.01, True","5.00, 0.01, True","5.00, 0.01, True","9.00, 0.02, True","7.00, 0.01, True","5.00, 0.01, True","7.00, 0.01, True","5.00, 0.00, True","6.00, 0.01, True","2.00, 0.00, True","6.00, 0.00, True","6.00, 0.00, True","9.00, 0.01, True","3.00, 0.00, True","5.00, 0.00, True","5.00, 0.00, True","6.00, 0.00, True","8.00, 0.00, True","4.00, 0.00, True","4.00, 0.00, True","3.00, 0.00, True","5.00, 0.00, True","4.00, 0.00, True","4.00, 0.00, True","7.00, 0.00, True","1.00, 0.00, True","2.00, 0.00, True","3.00, 0.00, True","2.00, 0.00, True","4.00, 0.00, True","3.00, 0.00, True","6.00, 0.00, True",A
template_19,"10.00, 1.00, True",None,"3.00, 1.00, True","7.00, 0.63, True","3.00, 0.34, True","10.00, 0.42, True","0.00, 0.06, True","2.00, 0.11, True","10.00, 0.33, True","2.00, 0.11, True","8.00, 0.21, True","10.00, 0.25, True","8.00, 0.21, True","9.00, 0.17, True","9.00, 0.17, True","8.00, 0.11, True","5.00, 0.06, True","8.00, 0.11, True","9.00, 0.12, True","4.00, 0.03, True","6.00, 0.03, True","7.00, 0.04, True","10.00, 0.05, True","8.00, 0.04, True","6.00, 0.01, True","9.00, 0.02, True","4.00, 0.00, True","9.00, 0.02, True","6.00, 0.01, True","5.00, 0.01, True","8.00, 0.01, True","7.00, 0.01, True","8.00, 0.01, True","5.00, 0.00, True","8.00, 0.01, True","8.00, 0.01, True","9.00, 0.01, True","4.00, 0.00, True","6.00, 0.00, True","4.00, 0.00, True","8.00, 0.00, True","6.00, 0.00, True","5.00, 0.00, True","4.00, 0.00, True","3.00, 0.00, True","7.00, 0.00, True","2.00, 0.00, True","3.00, 0.00, True","6.00, 0.00, True","4.00, 0.00, True","3.00, 0.00, True","6.00, 0.00, True","5.00, 0.00, True","6.00, 0.00, True","4.00, 0.00, True","7.00, 0.00, True",A
template_25,"7.00, 1.00, False","3.00, 1.00, False",None,"7.00, 0.80, True","4.00, 0.55, True","9.00, 0.52, True","2.00, 0.29, True","3.00, 0.23, True","9.00, 0.40, True","2.00, 0.18, True","6.00, 0.24, True","9.00, 0.31, True","7.00, 0.26, True","10.00, 0.25, True","9.00, 0.23, True","9.00, 0.17, True","5.00, 0.10, True","9.00, 0.17, True","9.00, 0.17, True","4.00, 0.05, True","5.00, 0.04, True","7.00, 0.06, True","8.00, 0.05, True","8.00, 0.05, True","7.00, 0.03, True","8.00, 0.02, True","5.00, 0.01, True","7.00, 0.02, True","6.00, 0.01, True","5.00, 0.01, True","6.00, 0.01, True","6.00, 0.01, True","6.00, 0.01, True","4.00, 0.00, True","7.00, 0.01, True","6.00, 0.01, True","8.00, 0.01, True","3.00, 0.00, True","4.00, 0.00, True","4.00, 0.00, True","6.00, 0.00, True","6.00, 0.00, True","4.00, 0.00, True","3.00, 0.00, True","2.00, 0.00, True","6.00, 0.00, True","3.00, 0.00, True","3.00, 0.00, True","6.00, 0.00, True","3.00, 0.00, True","3.00, 0.00, True","5.00, 0.00, True","4.00, 0.00, True","5.00, 0.00, True","2.00, 0.00, True","6.00, 0.00, True",A
template_18,"5.00, 0.58, False","7.00, 0.63, False","7.00, 0.80, False",None,"9.00, 1.00, True","5.00, 0.77, True","8.00, 0.81, True","8.00, 0.65, True","7.00, 0.63, True","7.00, 0.63, True","12.00, 0.57, True","6.00, 0.45, True","2.00, 0.29, True","12.00, 0.46, True","12.00, 0.46, True","12.00, 0.36, True","6.00, 0.24, True","12.00, 0.36, True","12.00, 0.36, True","6.00, 0.17, True","6.00, 0.12, True","10.00, 0.18, True","12.00, 0.16, True","11.00, 0.15, True","7.00, 0.06, True","7.00, 0.04, True","8.00, 0.05, True","11.00, 0.08, True","7.00, 0.04, True","6.00, 0.03, True","10.00, 0.05, True","6.00, 0.02, True","7.00, 0.03, True","6.00, 0.02, True","8.00, 0.02, True","11.00, 0.04, True","11.00, 0.04, True","4.00, 0.01, True","4.00, 0.01, True","5.00, 0.01, True","9.00, 0.02, True","7.00, 0.01, True","5.00, 0.01, True","4.00, 0.00, True","4.00, 0.00, True","7.00, 0.01, True","6.00, 0.01, True","5.00, 0.00, True","8.00, 0.01, True","4.00, 0.00, True","4.00, 0.00, True","6.00, 0.00, True","5.00, 0.00, True","5.00, 0.00, True","2.00, 0.00, True","7.00, 0.00, True",A
template_23,"9.00, 0.52, False","3.00, 0.34, False","4.00, 0.55, False","9.00, 1.00, False",None,"12.00, 1.00, True","3.00, 1.00, True","4.00, 0.75, True","12.00, 0.85, True","3.00, 0.73, True","10.00, 0.68, True","13.00, 0.71, True","11.00, 0.69, True","12.00, 0.57, True","12.00, 0.57, True","11.00, 0.44, True","8.00, 0.38, True","12.00, 0.46, True","12.00, 0.46, True","7.00, 0.26, True","8.00, 0.21, True","10.00, 0.25, True","14.00, 0.24, True","11.00, 0.20, True","9.00, 0.12, True","12.00, 0.12, True","7.00, 0.06, True","13.00, 0.13, True","8.00, 0.08, True","6.00, 0.05, True","12.00, 0.09, True","8.00, 0.05, True","9.00, 0.06, True","8.00, 0.05, True","10.00, 0.05, True","12.00, 0.07, True","14.00, 0.08, True","7.00, 0.03, True","9.00, 0.04, True","7.00, 0.02, True","12.00, 0.05, True","9.00, 0.03, True","7.00, 0.02, True","6.00, 0.01, True","6.00, 0.01, True","10.00, 0.02, True","7.00, 0.01, True","7.00, 0.01, True","10.00, 0.02, True","7.00, 0.01, True","7.00, 0.01, True","9.00, 0.01, True","8.00, 0.01, True","8.00, 0.01, True","6.00, 0.00, True","11.00, 0.01, True",A
template_26,"3.00, 0.23, False","10.00, 0.42, False","9.00, 0.52, False","5.00, 0.77, False","12.00, 1.00, False",None,"12.00, 1.00, None","11.00, 1.00, True","5.00, 1.00, True","11.00, 1.00, True","16.00, 0.86, True","9.00, 0.82, True","6.00, 0.79, True","14.00, 0.72, True","13.00, 0.71, True","13.00, 0.58, True","8.00, 0.50, True","12.00, 0.57, True","12.00, 0.57, True","9.00, 0.40, True","5.00, 0.21, True","10.00, 0.33, True","13.00, 0.30, True","11.00, 0.26, True","7.00, 0.13, True","6.00, 0.08, True","8.00, 0.11, True","12.00, 0.16, True","7.00, 0.09, True","7.00, 0.09, True","11.00, 0.11, True","6.00, 0.05, True","8.00, 0.08, True","6.00, 0.05, True","8.00, 0.05, True","10.00, 0.07, True","11.00, 0.08, True","5.00, 0.03, True","4.00, 0.02, True","6.00, 0.02, True","10.00, 0.05, True","10.00, 0.05, True","5.00, 0.02, True","5.00, 0.02, True","5.00, 0.02, True","10.00, 0.04, True","7.00, 0.02, True","6.00, 0.01, True","9.00, 0.03, True","5.00, 0.01, True","5.00, 0.01, True","6.00, 0.01, True","4.00, 0.00, True","5.00, 0.00, True","4.00, 0.00, True","8.00, 0.01, True",A
template_21,"6.00, 0.33, False","0.00, 0.06, False","2.00, 0.29, False","8.00, 0.81, False","3.00, 1.00, False","12.00, 1.00, True",None,"4.00, 1.00, True","12.00, 1.00, True","4.00, 1.00, True","9.00, 0.82, True","12.00, 0.85, True","10.00, 0.83, True","12.00, 0.70, True","11.00, 0.69, True","10.00, 0.54, True","7.00, 0.48, True","10.00, 0.54, True","11.00, 0.56, True","6.00, 0.33, True","8.00, 0.29, True","9.00, 0.31, True","13.00, 0.30, True","10.00, 0.25, True","7.00, 0.13, True","11.00, 0.15, True","6.00, 0.08, True","13.00, 0.18, True","7.00, 0.09, True","6.00, 0.08, True","11.00, 0.11, True","8.00, 0.08, True","8.00, 0.08, True","7.00, 0.06, True","9.00, 0.06, True","11.00, 0.08, True","13.00, 0.10, True","6.00, 0.03, True","9.00, 0.06, True","6.00, 0.02, True","11.00, 0.06, True","8.00, 0.04, True","6.00, 0.02, True","5.00, 0.02, True","4.00, 0.01, True","9.00, 0.03, True","4.00, 0.01, True","4.00, 0.01, True","7.00, 0.02, True","5.00, 0.01, True","4.00, 0.00, True","8.00, 0.01, True","7.00, 0.01, True","7.00, 0.01, True","5.00, 0.00, True","9.00, 0.01, True",A
template_15,"8.00, 0.29, False","2.00, 0.11, False","3.00, 0.23, False","8.00, 0.65, False","4.00, 0.75, False","11.00, 1.00, False","4.00, 1.00, False",None,"13.00, 1.00, None","4.00, 1.00, None","12.00, 1.00, True","12.00, 1.00, True","9.00, 1.00, True","12.00, 0.85, True","11.00, 0.84, True","10.00, 0.68, True","5.00, 0.58, True","10.00, 0.68, True","10.00, 0.68, True","5.00, 0.42, True","7.00, 0.36, True","9.00, 0.40, True","14.00, 0.39, True","11.00, 0.34, True","7.00, 0.19, True","10.00, 0.18, True","6.00, 0.12, True","13.00, 0.23, True","7.00, 0.13, True","4.00, 0.08, True","12.00, 0.16, True","7.00, 0.09, True","9.00, 0.12, True","8.00, 0.11, True","8.00, 0.08, True","11.00, 0.11, True","13.00, 0.13, True","6.00, 0.05, True","8.00, 0.08, True","4.00, 0.02, True","12.00, 0.09, True","9.00, 0.06, True","4.00, 0.02, True","4.00, 0.02, True","3.00, 0.01, True","10.00, 0.05, True","4.00, 0.01, True","5.00, 0.02, True","8.00, 0.04, True","7.00, 0.02, True","6.00, 0.01, True","8.00, 0.02, True","7.00, 0.01, True","6.00, 0.01, True","5.00, 0.00, True","9.00, 0.01, True",A
template_22,"3.00, 0.15, False","10.00, 0.33, False","9.00, 0.40, False","7.00, 0.63, False","12.00, 0.85, False","5.00, 1.00, False","12.00, 1.00, False","13.00, 1.00, True",None,"13.00, 1.00, None","17.00, 1.00, True","10.00, 1.00, True","6.00, 1.00, True","12.00, 0.85, True","11.00, 0.84, True","10.00, 0.68, True","10.00, 0.68, True","11.00, 0.69, True","11.00, 0.69, True","9.00, 0.52, True","3.00, 0.23, True","9.00, 0.40, True","11.00, 0.34, True","10.00, 0.33, True","8.00, 0.21, True","7.00, 0.13, True","7.00, 0.13, True","10.00, 0.18, True","7.00, 0.13, True","8.00, 0.15, True","9.00, 0.12, True","5.00, 0.06, True","8.00, 0.11, True","3.00, 0.04, True","8.00, 0.08, True","9.00, 0.09, True","10.00, 0.10, True","3.00, 0.02, True","5.00, 0.04, True","8.00, 0.05, True","8.00, 0.05, True","8.00, 0.05, True","8.00, 0.05, True","7.00, 0.04, True","6.00, 0.03, True","7.00, 0.03, True","7.00, 0.03, True","7.00, 0.03, True","9.00, 0.04, True","2.00, 0.00, True","3.00, 0.00, True","4.00, 0.00, True","3.00, 0.00, True","5.00, 0.01, True","4.00, 0.00, True","7.00, 0.01, True",A
template_27,"7.00, 0.26, False","2.00, 0.11, False","2.00, 0.18, False","7.00, 0.63, False","3.00, 0.73, False","11.00, 1.00, False","4.00, 1.00, False","4.00, 1.00, True","13.00, 1.00, True",None,"11.00, 1.00, True","13.00, 1.00, True","10.00, 1.00, True","11.00, 0.84, True","10.00, 0.83, True","10.00, 0.68, True","6.00, 0.61, True","10.00, 0.68, True","10.00, 0.68, True","5.00, 0.42, True","7.00, 0.36, True","8.00, 0.38, True","12.00, 0.36, True","9.00, 0.31, True","8.00, 0.21, True","11.00, 0.20, True","6.00, 0.12, True","11.00, 0.20, True","8.00, 0.15, True","5.00, 0.10, True","10.00, 0.14, True","8.00, 0.11, True","9.00, 0.12, True","7.00, 0.09, True","9.00, 0.09, True","10.00, 0.10, True","12.00, 0.12, True","6.00, 0.05, True","8.00, 0.08, True","5.00, 0.03, True","10.00, 0.07, True","8.00, 0.05, True","6.00, 0.03, True","5.00, 0.03, True","5.00, 0.03, True","8.00, 0.04, True","5.00, 0.02, True","6.00, 0.02, True","9.00, 0.04, True","6.00, 0.01, True","6.00, 0.01, True","8.00, 0.02, True","7.00, 0.01, True","7.00, 0.01, True","5.00, 0.00, True","10.00, 0.02, True",A
